name,latitude,longitude,heading,shiptype
229,28.39327,49.10954,50,SUPPORT
230,28.14808,50.0065,0,SUPPORT
231,27.26451,49.68483,45,SUPPORT
232,27.2644,49.68347,218,SUPPORT
233,30.29466,48.31266,117,CARGO
234,30.5,47.85833,116,PASSENGER
235,28.02167,48.73167,344,SUPPORT
236,30.43331,48.15593,null,CARGO
237,29.60315,50.46912,0,CARGO
238,29.19792,50.35199,324,SUPPORT
239,27.28395,49.98782,1,SUPPORT
240,29.91963,48.62803,289,SUPPORT
241,28.78839,50.14183,247,SUPPORT
242,28.16366,48.68582,100,SUPPORT
243,28.3979,49.56583,158,SUPPORT
244,28.39786,49.5658,158,SUPPORT
245,29.22083,50.33267,141,SUPPORT
246,29.17823,50.07391,282,SUPPORT
247,27.73977,49.52085,306,SUPPORT
248,27.75401,49.02441,261,SUPPORT
249,28.1482,49.68571,108,SUPPORT
250,27.85167,49.31833,235,SUPPORT
251,27.11689,50.40158,356,SUPPORT
252,26.86268,49.90752,0,SUPPORT
253,28.27422,49.7444,176,SUPPORT
254,28.21207,49.74758,177,SUPPORT
255,27.84977,49.92356,150,SUPPORT
256,26.98903,50.53566,0,SUPPORT
257,30.19188,48.41442,334,CARGO
258,26.85114,50.35627,77,SUPPORT
259,30.56146,47.79183,301,SUPPORT
260,29.85308,48.71861,296,SUPPORT
261,28.10966,49.08697,183,SUPPORT
262,28.10855,49.08697,183,SUPPORT
263,28.33339,49.64374,307,SUPPORT
264,28.3334,49.64379,307,SUPPORT
265,29.31744,50.36306,257,SUPPORT
266,30.43834,48.14789,0,CARGO
267,28.02666,49.0134,54,SUPPORT
268,28.02645,49.01334,54,SUPPORT
269,27.61287,49.10776,70,SUPPORT
270,27.605,49.01833,197,SUPPORT
271,28.46382,48.84988,67,SUPPORT
272,26.89301,49.80737,0,CARGO
273,29.35832,48.43495,81,CARGO
274,28.29732,49.0478,347,SUPPORT
275,28.2972,49.04584,65,SUPPORT
276,29.9879,48.47158,301,CARGO
277,27.42609,50.60062,null,SUPPORT
278,27.87973,48.83414,128,SUPPORT
279,27.8796,48.83247,22,SUPPORT
280,28.71831,48.38601,207,SUPPORT
281,29.72361,48.62032,null,TANKER
282,28.25128,48.8744,147,SUPPORT
283,28.24923,48.87917,23,SUPPORT
284,28.74929,48.88491,253,SUPPORT
285,28.42923,48.57495,253,SUPPORT
286,28.97818,50.85192,0,SUPPORT
287,29.82633,50.25417,null,SUPPORT
288,27.67894,50.16118,227,SUPPORT
289,29.38283,49.15984,129,SUPPORT
290,27.00825,50.56352,235,SUPPORT
291,27.5493,49.19624,209,SUPPORT
292,27.93644,48.97788,328,SUPPORT
293,27.93857,48.9841,279,SUPPORT
294,29.71772,50.16522,150,SUPPORT
295,29.71667,50.165,150,SUPPORT
296,27.65738,49.90092,138,SUPPORT
297,29.3496,48.09846,null,PASSENGER
298,28.05365,48.72543,122,SUPPORT
299,30.45911,48.02177,187,SUPPORT
300,30.46765,49.1873,252,SUPPORT
301,27.25838,49.63863,218,SUPPORT
302,27.25667,49.63667,322,SUPPORT
303,29.6512,48.85075,50,SUPPORT
304,28.46985,49.68708,109,SUPPORT
305,28.45563,49.6901,131,SUPPORT
306,27.8613,50.36191,57,SUPPORT
307,27.86112,50.36235,137,SUPPORT
308,28.44402,48.71792,77,SUPPORT
309,28.49626,49.71687,null,SUPPORT
310,28.58963,49.67783,323,SUPPORT
311,29.33206,49.49583,204,SUPPORT
312,29.25034,49.84602,106,SUPPORT
313,27.62946,49.0608,237,SUPPORT
314,27.6408,49.08764,101,SUPPORT
315,27.73793,49.04415,288,SUPPORT
316,29.30891,49.55296,null,SUPPORT
317,29.30866,49.55275,null,SUPPORT
318,27.04293,50.60135,138,CARGO
319,26.94196,50.70233,147,CARGO
320,30.48071,49.06449,354,UNKNOWN
321,28.05286,50.21833,119,FISHING
322,27.93249,49.54696,196,FISHING
323,27.58782,50.1128,120,FISHING
324,27.35843,49.66505,289,FISHING
325,27.36894,49.79493,145,FISHING
326,27.82875,49.61871,null,FISHING
327,27.55187,49.64955,133,FISHING
328,29.23054,50.19718,176,SUPPORT
329,27.67349,49.32259,338,FISHING
330,27.57135,49.54838,141,FISHING
331,27.29122,49.41085,355,YACHT
332,28.11334,49.90193,null,FISHING
333,27.80968,49.73762,105,FISHING
334,29.53148,48.58429,199,UNKNOWN
335,29.95856,49.67915,161,SUPPORT
336,29.95849,49.6792,185,SUPPORT
337,27.49068,49.90383,17,FISHING
338,27.60736,50.15733,231,FISHING
339,27.64859,49.6889,1,FISHING
340,27.65059,49.68954,186,FISHING
341,27.50812,49.99684,159,FISHING
342,29.14497,49.90067,140,FISHING
343,29.13119,49.91087,148,FISHING
344,27.52974,49.53799,39,FISHING
345,27.15589,49.39988,null,FISHING
346,27.72509,49.62026,null,FISHING
347,27.45261,49.75644,136,FISHING
348,29.18887,48.33201,133,CARGO
349,26.89169,50.34452,null,FISHING
350,27.48892,49.51411,334,FISHING
351,27.71506,49.3501,334,FISHING
352,28.19433,50.50422,157,FISHING
353,27.80707,49.78446,104,FISHING
354,28.15657,50.07886,null,YACHT
355,27.806,50.15819,null,FISHING
356,27.97811,48.95984,272,FISHING
357,28.11571,49.23248,141,FISHING
358,27.39903,49.4713,null,FISHING
359,27.99098,50.25456,162,FISHING
360,27.98937,50.25562,136,FISHING
361,26.75814,50.41606,64,FISHING
362,26.99537,50.69932,38,FISHING
363,29.07223,49.98523,114,FISHING
364,29.0661,49.99059,114,FISHING
365,29.85147,49.6329,208,SUPPORT
366,29.47678,49.39308,296,SUPPORT
367,27.08434,49.94483,356,FISHING
368,27.07931,49.93574,161,FISHING
369,28.96579,49.86146,159,FISHING
370,28.95683,49.8672,148,FISHING
371,27.14848,50.11703,334,FISHING
372,29.34915,50.39264,186,UNKNOWN
373,29.28377,48.18959,298,SUPPORT
374,27.1776,50.16534,null,FISHING
375,26.82502,50.93795,267,FISHING
376,27.32754,49.83935,117,FISHING
377,27.32614,49.84684,37,FISHING
378,27.68996,50.13385,187,FISHING
379,26.9611,50.27456,16,FISHING
380,28.19284,49.08938,329,FISHING
381,28.57166,48.90916,98,FISHING
382,27.02859,49.78094,259,FISHING
383,27.82238,49.93913,137,YACHT
384,27.82239,49.9391,49,YACHT
385,30.28679,48.90547,329,SUPPORT
386,29.95367,49.09222,null,UNKNOWN
387,28.48141,49.39883,351,SUPPORT
388,29.20299,49.87127,139,FISHING
389,29.33371,50.50596,171,CARGO
390,28.06443,49.59182,181,FISHING
391,27.24291,50.26309,143,FISHING
392,27.24154,50.26406,154,FISHING
393,28.98908,49.61604,347,FISHING
394,29.24803,49.86029,null,FISHING
395,28.93665,48.88475,null,UNKNOWN
396,29.93717,49.10669,null,UNKNOWN
397,27.35801,50.01885,85,FISHING
398,27.35161,49.8894,null,FISHING
399,27.35159,49.88941,null,FISHING
400,28.65518,50.35138,139,FISHING
401,26.83417,50.79132,130,FISHING
402,28.15214,49.71774,199,FISHING
403,27.88833,49.23403,253,FISHING
404,27.80573,49.96824,139,FISHING
405,28.55502,50.90343,72,FISHING
406,29.18452,49.84053,0,UNKNOWN
407,27.03915,49.98007,262,FISHING
408,27.02472,49.89537,null,FISHING
409,28.03593,49.87714,null,FISHING
410,28.13685,50.12247,250,FISHING
411,26.79255,50.67056,161,FISHING
412,27.7716,49.42108,278,FISHING
413,27.49103,49.60084,166,FISHING
414,26.84569,50.20871,51,UNKNOWN
415,27.33822,50.50548,136,SUPPORT
416,28.298,50.80952,165,UNKNOWN
417,29.05055,49.97633,119,FISHING
418,29.04665,49.9785,119,FISHING
419,27.03718,50.13252,28,FISHING
420,29.05992,49.7963,145,UNKNOWN
421,27.87967,49.61123,null,FISHING
422,29.26688,50.32765,318,SUPPORT
423,27.92503,49.68367,null,FISHING
424,27.92501,49.68368,null,FISHING
425,27.54375,49.36808,145,FISHING
426,27.81868,49.10066,150,FISHING
427,27.44007,49.37416,null,FISHING
428,26.85377,50.43446,307,FISHING
429,27.29803,49.96041,164,FISHING
430,27.17395,49.99863,null,FISHING
431,28.00758,50.24763,125,FISHING
432,27.16077,50.10389,null,FISHING
433,30.05847,50.14855,168,SUPPORT
434,27.42893,49.75113,259,FISHING
435,27.42433,49.68772,287,FISHING
436,29.05475,50.05767,null,FISHING
437,27.67475,49.80001,280,FISHING
438,27.52495,49.72225,358,FISHING
439,28.13193,49.45545,324,CARGO
440,28.7302,49.20596,315,CARGO
441,29.16261,50.03765,87,SUPPORT
442,28.41561,50.91148,136,FISHING
443,28.39461,50.92123,159,FISHING
444,28.67777,50.32989,158,FISHING
445,28.00154,49.07179,null,FISHING
446,29.38135,47.79733,45,UNKNOWN
447,28.19629,49.68612,236,FISHING
448,28.08703,49.6915,null,FISHING
449,27.57537,49.78826,101,FISHING
450,28.05894,49.01921,null,FISHING
451,29.0006,50.29815,0,FISHING
452,26.87083,50.62213,326,FISHING
453,28.11834,49.30116,208,FISHING
454,28.11942,49.29867,48,FISHING
455,27.59026,48.90856,null,FISHING
456,28.13246,49.55967,45,FISHING
457,28.1255,49.7831,75,FISHING
458,27.76846,50.08723,130,FISHING
459,27.55433,49.44974,279,FISHING
460,27.41999,49.55552,321,FISHING
461,28.0395,49.98312,237,FISHING
462,28.25272,49.87091,null,FISHING
463,26.83289,50.53232,288,FISHING
464,27.59022,49.67718,null,FISHING
465,27.58897,49.67808,null,FISHING
466,27.70725,49.18924,null,FISHING
467,27.67468,49.18921,134,FISHING
468,26.78068,50.42417,235,FISHING
469,27.05408,50.52592,136,FISHING
470,27.83539,49.63721,326,FISHING
471,28.02213,49.77289,232,FISHING
472,29.59835,48.53377,359,FISHING
473,26.88947,50.24677,112,FISHING
474,28.3591,50.94737,157,FISHING
475,28.35295,50.9505,174,FISHING
476,28.00438,50.49092,79,FISHING
477,29.85825,48.46607,null,SUPPORT
478,30.03623,49.44561,298,YACHT
479,27.96417,49.43976,314,FISHING
480,26.99004,50.35672,356,FISHING
481,27.11917,49.98813,100,FISHING
482,28.51595,50.82852,163,YACHT
